###globalBeforeEachFailed false
2026-02-12 16:11:17.282	INFO	utils/dataUtils.ts:8	DataUtils	Generated name 
###globalBeforeEachFailed false
2026-02-12 16:11:56.322	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: getByRole('link', { name: 'Settings' })
2026-02-12 16:11:56.484	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: getByRole('link', { name: 'Settings' })
2026-02-12 16:11:56.487	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: getByText('Operators')
2026-02-12 16:11:57.285	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: getByText('Operators')
2026-02-12 16:11:57.287	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: locator('text=ADD OPERATOR')
2026-02-12 16:11:57.499	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: locator('text=ADD OPERATOR')
2026-02-12 16:11:57.502	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('mat-form-field input[type="text"]').first() with text: "a-SGauC"
2026-02-12 16:11:57.612	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('mat-form-field input[type="text"]').first() filled with text: "a-SGauC"
2026-02-12 16:11:57.615	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').first() with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:57.686	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').first() filled with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:57.688	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').nth(1) with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:57.765	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').nth(1) filled with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:57.766	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="text"]').nth(1) with text: "-astrum casso vaco"
2026-02-12 16:11:57.854	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="text"]').nth(1) filled with text: "-astrum casso vaco"
2026-02-12 16:11:57.857	INFO	utils/browser-utils.ts:262	BrowserUtils	Unchecking checkbox: getByRole('checkbox', { name: 'Enable Two-Factor Authentication' })
2026-02-12 16:11:58.042	INFO	utils/browser-utils.ts:286	BrowserUtils	Checkbox: getByRole('checkbox', { name: 'Enable Two-Factor Authentication' }) is now unchecked.
2026-02-12 16:11:58.044	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: getByText('ADD', { exact: true })
2026-02-12 16:11:58.169	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: getByText('ADD', { exact: true })
2026-02-12 16:11:58.171	INFO	utils/browser-utils.ts:51	BrowserUtils	Clicking on element: locator('text=ADD OPERATOR')
2026-02-12 16:11:59.698	INFO	utils/browser-utils.ts:60	BrowserUtils	Clicked on element: locator('text=ADD OPERATOR')
2026-02-12 16:11:59.699	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('mat-form-field input[type="text"]').first() with text: "a-qoUsW"
2026-02-12 16:11:59.813	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('mat-form-field input[type="text"]').first() filled with text: "a-qoUsW"
2026-02-12 16:11:59.818	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').first() with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:59.915	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').first() filled with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:59.918	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="password"]').nth(1) with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:59.979	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="password"]').nth(1) filled with text: "On!1rJmVX_q3t43SLEH"
2026-02-12 16:11:59.982	INFO	utils/browser-utils.ts:127	BrowserUtils	Filling input field: locator('input[type="text"]').nth(1) with text: "-astrum casso vaco"
2026-02-12 16:12:00.061	INFO	utils/browser-utils.ts:134	BrowserUtils	Input field: locator('input[type="text"]').nth(1) filled with text: "-astrum casso vaco"
